X,Region,Country,Code,Sex,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1951,Europe & Central Asia,Gibraltar,GIB,Female, , , , , , , , , , , , , 
1952,Europe & Central Asia,Gibraltar,GIB,Male, , , , , , , , , , , , , 
1977,Europe & Central Asia,Greece,GRC,Female,11.51,13.28,16.33,21.51,28.21,31.35,30.17,28.85,28.1,26.07,24.23,21.5,19.79
1978,Europe & Central Asia,Greece,GRC,Male,5.13,6.97,10.03,15.12,21.54,24.47,23.6,21.72,19.86,17.82,15.37,13.98,13.54
2003,Europe & Central Asia,Greenland,GRL,Female, , ,7.7,9.6,10.2,10.1,10.3,9.3, , , , , 
2004,Europe & Central Asia,Greenland,GRL,Male, , ,7.8,9.2,9.6,10.1,10.3,8.9, , , , , 
2029,Latin America & Caribbean,Grenada,GRD,Female, , , , , , , , , , , , , 
2030,Latin America & Caribbean,Grenada,GRD,Male, , , , , , , , , , , , , 
2055,East Asia & Pacific,Guam,GUM,Female, ,9.8,9.3,15.7,10.8, , , , , , , , 
2056,East Asia & Pacific,Guam,GUM,Male, ,8.8,7.3,11.2,11.9, , , , , , , , 
2081,Latin America & Caribbean,Guatemala,GTM,Female, , ,3.83,6.61,3.44,3.64,3.37,3.53,3.45,3.5,2.8,2.91, 
2082,Latin America & Caribbean,Guatemala,GTM,Male, , ,3.3,2.86,2.37,2.67,2.36,1.99,2.12,1.93,2.01,1.82, 
2107,Sub-Saharan Africa,Guinea,GIN,Female, , , , , , , , , , , ,5.06, 
2108,Sub-Saharan Africa,Guinea,GIN,Male, , , , , , , , , , , ,4.98, 
2133,Sub-Saharan Africa,Guinea-Bissau,GNB,Female, , , , , , , , , , , , , 
2134,Sub-Saharan Africa,Guinea-Bissau,GNB,Male, , , , , , , , , , , , , 
2159,Latin America & Caribbean,Guyana,GUY,Female, , , , , , , , , , ,16.49, , 
2160,Latin America & Caribbean,Guyana,GUY,Male, , , , , , , , , , ,12.34, , 
2185,Latin America & Caribbean,Haiti,HTI,Female, , , , ,17.3, , , , , , , , 
2186,Latin America & Caribbean,Haiti,HTI,Male, , , , ,11.5, , , , , , , , 
2211,Latin America & Caribbean,Honduras,HND,Female,3.84,4.26,5.4,6.31,5.12,7.45,9.25,8.76,8.88,7.85,7.17,8.06, 
2212,Latin America & Caribbean,Honduras,HND,Male,2.77,2.74,3.37,3.45,3.01,4.56,5.68,4.41,5.3,4.04,4.62,4.22, 
2237,East Asia & Pacific,"Hong Kong SAR, China",HKG,Female,2.97,4.32,3.5,2.8,2.76,2.97,3.01,3.18,3.08,2.86,2.42,2.31,4.75
2238,East Asia & Pacific,"Hong Kong SAR, China",HKG,Male,4.05,6.07,5.06,3.99,3.77,3.8,3.57,3.44,3.69,3.39,3.2,3.56,6.92
2263,Europe & Central Asia,Hungary,HUN,Female,8,9.74,10.66,10.98,10.61,10.14,7.91,7.04,5.11,4.57,3.99,3.5,4.48
2264,Europe & Central Asia,Hungary,HUN,Male,7.66,10.28,11.61,11.07,11.34,10.21,7.57,6.62,5.12,3.81,3.48,3.36,4.06
2289,Europe & Central Asia,Iceland,ISL,Female,2.58,5.68,6.74,6.21,5.66,5.08,4.79,4.05,3.05,2.72,2.54,3.11,5.29
2290,Europe & Central Asia,Iceland,ISL,Male,3.25,8.56,8.31,7.77,6.31,5.65,5,3.91,2.92,2.76,2.85,3.84,5.64
2315,South Asia,India,IND,Female, , ,3.3, ,3.69, , , , , ,5.3,4.94, 
2316,South Asia,India,IND,Male, , ,2.17, ,2.4, , , , , ,5.34,5.37, 
2341,East Asia & Pacific,Indonesia,IDN,Female,8.1,6.7,6.39,5.57,4.78,4.27,3.88,4.43,3.87,3.6,4.18,3.35,3.78
2342,East Asia & Pacific,Indonesia,IDN,Male,6.66,5.74,5.13,4.9,4.27,4.38,4.15,4.57,4.57,4.06,4.519999981,3.769999981,4.61
2367,Middle East & North Africa,"Iran, Islamic Rep.",IRN,Female,16.92000008,17.04000092,20.73999977,21.05999947,19.79000092,19.87000084,19.76000023,19.5,20.78000069,19.92,18.96,17.55, 
2368,Middle East & North Africa,"Iran, Islamic Rep.",IRN,Male,9.270000458,10.98999977,12.10000038,10.72000027,10.57999992,8.75,8.909999847,9.390000343,10.68000031,10.33,10.51,9.1, 
2393,Middle East & North Africa,Iraq,IRQ,Female, , , , ,12.42, ,21.92, ,22.22,30.96, , , 
2394,Middle East & North Africa,Iraq,IRQ,Male, , , , ,7.19, ,8.44, ,8.49,10.26, , , 
2419,Europe & Central Asia,Ireland,IRL,Female,5.7,9.51,11.41,12.5,12.75,12.42,10.87,8.91,7.6,6.29,5.69,4.69,5.65
2420,Europe & Central Asia,Ireland,IRL,Male,7.6,15.08,17.07,17.69,17.68,14.83,12.67,10.73,9.02,7.07,5.78,5.17,5.6
2445,Europe & Central Asia,Isle of Man,IMN,Female,1, , ,2.76, ,1.71,1.26, ,2.26, , , , 
2446,Europe & Central Asia,Isle of Man,IMN,Male,1.8, , ,3.77, ,3.36,2.59, ,3.03, , , , 
2471,Middle East & North Africa,Israel,ISR,Female,7.86,9.18,7.95,6.95,6.98,6.24,5.92,5.39,4.94,4.32,3.95,3.93,4.119999886
2472,Middle East & North Africa,Israel,ISR,Male,7.57,9.84,8.94,7.3,6.75,6.18,5.87,5.13,4.67,4.12,4.04,3.69,4.519999981
2497,Europe & Central Asia,Italy,ITA,Female,8.5,9.22,9.6,9.54,11.83,13.07,13.8,12.69,12.77,12.39,11.77,11.1,10.19
2498,Europe & Central Asia,Italy,ITA,Male,5.5,6.72,7.5,7.52,9.8,11.48,11.86,11.32,10.89,10.34,9.75,9.09,8.4
2523,Latin America & Caribbean,Jamaica,JAM,Female,14.58,14.84,16.21,17.2,18.08,20.07,18.14,17.86,17.4,15.37,11.9,9.899999619, 
2524,Latin America & Caribbean,Jamaica,JAM,Male,7.3,8.52,9.21,9.6,10.51,11.23,10.09,9.9,9.6,8.42,6.72,5.800000191, 
2549,East Asia & Pacific,Japan,JPN,Female,3.859999895,4.78000021,4.610000134,4.150000095,4.050000191,3.7,3.4,3.1,2.8,2.7,2.2,2.2,2.5
2550,East Asia & Pacific,Japan,JPN,Male,4.110000134,5.269999981,5.460000038,4.840000153,4.579999924,4.3,3.7,3.6,3.3,3,2.6,2.5,3
2575,Middle East & North Africa,Jordan,JOR,Female,24.4,24.1,21.7,21.2,19.9,22.2,20.7,22.55,24.13,27.2,24.13,24.12, 
2576,Middle East & North Africa,Jordan,JOR,Male,10.1,10.3,10.4,11,10.4,10.6,10.1,10.98,13.32,15.79,17.02,15.45, 
2601,Europe & Central Asia,Kazakhstan,KAZ,Female,7.95,7.54,6.63,6.21,6.47,5.87, , , ,5.43, , ,5.37
2602,Europe & Central Asia,Kazakhstan,KAZ,Male,5.33,5.59,4.93,4.6,4.13,4.57, , , ,4.4, , ,4.43
2627,Sub-Saharan Africa,Kenya,KEN,Female, ,9.4, , , , , , ,2.94, , ,5.26, 
2628,Sub-Saharan Africa,Kenya,KEN,Male, ,9.9, , , , , , ,2.58, , ,4.78, 
2653,East Asia & Pacific,Kiribati,KIR,Female, , ,34.09, , , , ,5.64, , , ,8.67, 
2654,East Asia & Pacific,Kiribati,KIR,Male, , ,27.63, , , , ,11.87, , , ,8.54, 
2679,East Asia & Pacific,"Korea, Dem. People's Rep.",PRK,Female, , , , , , , , , , , , , 
2680,East Asia & Pacific,"Korea, Dem. People's Rep.",PRK,Male, , , , , , , , , , , , , 
2705,East Asia & Pacific,"Korea, Rep.",KOR,Female,2.4,2.69,2.84,2.64,2.56,2.46,2.96,3.48,3.54,3.48,3.69,3.58,3.99
2706,East Asia & Pacific,"Korea, Rep.",KOR,Male,3.36,3.84,3.67,3.24,2.99,2.96,3.17,3.59,3.73,3.78,3.92,3.87,3.89
2731,Europe & Central Asia,Kosovo,XKX,Female,59.6,56.4, , ,39.96, ,41.53,36.57,31.69,36.39,33.26,35.41999817,32.63000107
2732,Europe & Central Asia,Kosovo,XKX,Male,42.7,40.7, , ,28.03, ,32.95,31.79,26.15,28.52,28.31,22.72999954,23.73999977
2757,Middle East & North Africa,Kuwait,KWT,Female,3.73,3.39,2.8, , , ,4.9,4.4,5.83, , , , 
2758,Middle East & North Africa,Kuwait,KWT,Male,1.1,1.04,1.41, , , ,1.9,1.2,0.94, , , , 
2783,Europe & Central Asia,Kyrgyz Republic,KGZ,Female,9.38,9.76,9.94,9.85,9.47,9.66,9.49,9.02,8.74,8.91,5, , 
2784,Europe & Central Asia,Kyrgyz Republic,KGZ,Male,7.34,7.41,7.71,7.58,7.69,7.43,7.03,6.54,6.18,5.59,4.25, , 
2809,East Asia & Pacific,Lao PDR,LAO,Female, , ,0.66, , , , , , ,7.82, , , 
2810,East Asia & Pacific,Lao PDR,LAO,Male, , ,0.76, , , , , , ,10.75, , , 
2835,Europe & Central Asia,Latvia,LVA,Female,7.08,14.14,16.3,13.8,13.95,11.14,9.84,8.64,8.4,7.68,6.42,5.43,7.07
2836,Europe & Central Asia,Latvia,LVA,Male,8.38,20.9,22.75,18.64,16.16,12.6,11.85,11.09,10.9,9.76,8.41,7.2,9.13
2861,Middle East & North Africa,Lebanon,LBN,Female, ,10.4, , , , , , , , , ,14.35, 
2862,Middle East & North Africa,Lebanon,LBN,Male, ,5.02, , , , , , , , , ,9.97, 
2887,Sub-Saharan Africa,Lesotho,LSO,Female,38.79, , , , , , , , , , ,22.29, 
2888,Sub-Saharan Africa,Lesotho,LSO,Male,32.54, , , , , , , , , , ,22.58, 
2913,Sub-Saharan Africa,Liberia,LBR,Female, , ,2.29, , , ,1.8, ,2.36, , , , 
2914,Sub-Saharan Africa,Liberia,LBR,Male, , ,2.24, , , ,2.36, ,3.79, , , , 
2939,Middle East & North Africa,Libya,LBY,Female, , , , ,25.05, , , , , , , , 
2940,Middle East & North Africa,Libya,LBY,Male, , , , ,15.88, , , , , , , , 
2965,Europe & Central Asia,Liechtenstein,LIE,Female, , , , , , , , , , , , , 
2966,Europe & Central Asia,Liechtenstein,LIE,Male, , , , , , , , , , , , , 
2991,Europe & Central Asia,Lithuania,LTU,Female,5.63,10.52,14.52,12.91,11.57,10.48,9.22,8.16,6.65,5.68,5.41,5.49,7.69
2992,Europe & Central Asia,Lithuania,LTU,Male,6.02,17.08,21.19,17.91,15.2,13.06,12.18,10.1,9.1,8.5,6.89,7.02,9.27
3017,Europe & Central Asia,Luxembourg,LUX,Female,6.03,6.13,5.09,6.26,5.91,6.38,5.77,7.34,6.63,5.5,5.88,5.53,6.97
3018,Europe & Central Asia,Luxembourg,LUX,Male,4.32,4.36,3.79,3.84,4.53,5.42,5.92,6.1,6.01,5.54,5.33,5.65,6.6
3043,East Asia & Pacific,"Macao SAR, China",MAC,Female,2.8,2.79,2.06,2.18,1.65,1.4,1.4,1.57,1.5,1.6,1.3,1.3,2.2
3044,East Asia & Pacific,"Macao SAR, China",MAC,Male,3.2,4.2,3.52,2.98,2.27,2.23,1.9,1.97,2.3,2.4,2.3,2.1,2.9
3069,Sub-Saharan Africa,Madagascar,MDG,Female, , ,5.31, ,0.63, , ,1.8, , , , , 
3070,Sub-Saharan Africa,Madagascar,MDG,Male, , ,3.25, ,0.57, , ,1.77, , , , , 
3095,Sub-Saharan Africa,Malawi,MWI,Female, , , ,1.76, ,6.93, , , ,7.52, , , 
3096,Sub-Saharan Africa,Malawi,MWI,Male, , , ,1.71, ,4.94, , , ,4.37, , , 
3121,East Asia & Pacific,Malaysia,MYS,Female, , , ,3.319999933, , ,3.22,3.39,3.92, ,3.63,3.4, 
3122,East Asia & Pacific,Malaysia,MYS,Male, , , ,2.910000086, , ,2.67,2.92,3.13, ,3.09,3.17, 
3147,South Asia,Maldives,MDV,Female, ,13.75, , , , ,5.41, ,5.63, , ,4.900000095, 
3148,South Asia,Maldives,MDV,Male, ,10.38, , , , ,3.19, ,6.43, , ,5.639999866, 
3173,Sub-Saharan Africa,Mali,MLI,Female, , ,11.11, , ,8.24,6.3,8.74,1.3,8.34,1.56, , 
3174,Sub-Saharan Africa,Mali,MLI,Male, , ,6.04, , ,4.55,6.44,6.86,1.42,6.65,1.67, , 
3199,Middle East & North Africa,Malta,MLT,Female,6.78,7.63,7.13,7.13,7.21,6.14,5.1,5.39,5.16,4.25,3.5,4.01,4.36
3200,Middle East & North Africa,Malta,MLT,Male,5.57,6.51,6.7,5.97,5.59,6.09,6.12,5.37,4.37,3.83,3.77,3.35,4.19
3225,East Asia & Pacific,Marshall Islands,MHL,Female, , , ,4.48, , , , , , , ,4.28, 
3226,East Asia & Pacific,Marshall Islands,MHL,Male, , , ,4.87, , , , , , , ,7.4, 
3251,Sub-Saharan Africa,Mauritania,MRT,Female, , , , ,12.4, , , , ,11.45, , , 
3252,Sub-Saharan Africa,Mauritania,MRT,Male, , , , ,8.46, , , , ,9.66, , , 
3277,Sub-Saharan Africa,Mauritius,MUS,Female,12.59,12.27,12.92,11.71,11.72,11.15,10.83,10.68,10.41,10.04,9.51,9.68, 
3278,Sub-Saharan Africa,Mauritius,MUS,Male,4.04,4.33,4.48,4.91,4.93,4.93,5.36,5.28,4.52,4.64,4.41,4.1, 
3303,Latin America & Caribbean,Mexico,MEX,Female,4.03,5.35,5.18,5.13,4.88,4.96,4.85,4.45,3.91,3.6,3.43,3.52,4.1
3304,Latin America & Caribbean,Mexico,MEX,Male,3.78,5.36,5.37,5.19,4.89,4.89,4.79,4.23,3.83,3.31,3.19,3.46,4.67
3329,East Asia & Pacific,"Micronesia, Fed. Sts.",FSM,Female, , , , , , ,13.88, , , , , , 
3330,East Asia & Pacific,"Micronesia, Fed. Sts.",FSM,Male, , , , , , ,5.37, , , , , , 
3355,Europe & Central Asia,Moldova,MDA,Female,3.35,4.89,5.74,5.59,4.29,4.14,2.92,3.45,2.74,3.34,3.14,4.35,3.25
3356,Europe & Central Asia,Moldova,MDA,Male,4.54,7.83,9.08,7.73,6.82,6.03,4.51,5.91,5.24,4.83,5.06,5.8,4.34
3381,Europe & Central Asia,Monaco,MCO,Female, , , , , , , , ,8.68, , , , 
3382,Europe & Central Asia,Monaco,MCO,Male, , , , , , , , ,4.58, , , , 
3407,East Asia & Pacific,Mongolia,MNG,Female,5.19,6.16,5.9,4.43,3.53,4.46,4.41,4.26,5.9,5.66,4.83,8.87,6.71
3408,East Asia & Pacific,Mongolia,MNG,Male,5.92,5.58,7.13,5.07,4.25,4.02,5.15,5.4,8.41,6.98,5.85,11.03,7.28
3433,Europe & Central Asia,Montenegro,MNE,Female,18.37,20.43,20.75,20.14,20.25,18.82,18.22,17.31,17.08,16.94,15.1,15.68,18.4
3434,Europe & Central Asia,Montenegro,MNE,Male,16.25,18.04,18.8,19.31,19.75,20.04,17.81,17.74,18.24,15.38,15.24,14.68,17.5
3459,Middle East & North Africa,Morocco,MAR,Female,9.78,9.28,9.48,10.22,9.94,9.57,10.28,10.39,10.66, , , , 
3460,Middle East & North Africa,Morocco,MAR,Male,9.49,8.84,8.94,8.43,8.65,9.11,9.49,9.11,8.81, , , , 
3485,Sub-Saharan Africa,Mozambique,MOZ,Female, , , , , , , ,3.67, , , , , 
3486,Sub-Saharan Africa,Mozambique,MOZ,Male, , , , , , , ,3.15, , , , , 
3511,East Asia & Pacific,Myanmar,MMR,Female, , , , , , , ,0.9, ,2.02,1.04,0.59, 
3512,East Asia & Pacific,Myanmar,MMR,Male, , , , , , , ,0.67, ,1.22,0.73,0.44, 
3537,Sub-Saharan Africa,Namibia,NAM,Female, , ,23.95999908, ,18.97,20.66,20.38, ,24.98, ,18.59, , 
3538,Sub-Saharan Africa,Namibia,NAM,Male, , ,20.34000015, ,14.66,17.33,16.71, ,21.78, ,21.13, , 
3563,East Asia & Pacific,Nauru,NRU,Female, , , ,25.51, ,17.95, , , , , , , 
3564,East Asia & Pacific,Nauru,NRU,Male, , , ,21.36, ,10.03, , , , , , , 
3589,South Asia,Nepal,NPL,Female,1.08, , , , , , ,2.9, ,13.06, , , 
3590,South Asia,Nepal,NPL,Male,1.59, , , , , , ,3.4, ,10.31, , , 
3615,Europe & Central Asia,Netherlands,NLD,Female,4.47,4.92,5.54,5.41,6.23,7.3,7.75,7.27,6.51,5.25,3.96,3.36,3.95
3616,Europe & Central Asia,Netherlands,NLD,Male,2.98,3.87,4.52,4.6,5.47,7.19,7.13,6.53,5.57,4.48,3.72,3.4,3.7
3641,East Asia & Pacific,New Caledonia,NCL,Female, ,16.34, , , , ,15.6, , , , , , 
3642,East Asia & Pacific,New Caledonia,NCL,Male, ,12.05, , , , ,13.74, , , , , , 
3667,East Asia & Pacific,New Zealand,NZL,Female,4.26,6.14,6.93,6.76,7.39,6.420000076,6.130000114,5.9,5.519999981,5.239999771,4.5,4.43,4.98
3668,East Asia & Pacific,New Zealand,NZL,Male,4.08,6.1,6.23,6.25,6.52,5.309999943,4.800000191,4.97,4.809999943,4.289999962,4.18,3.82,4.25
3693,Latin America & Caribbean,Nicaragua,NIC,Female,6.9, , , ,5.73,5.45,5.61,5.4,4.2,3.4,5.3, , 
3694,Latin America & Caribbean,Nicaragua,NIC,Male,5.7, , , ,4.78,5.14,3.84,4.2,3.6,3.1,5.2, , 
3719,Sub-Saharan Africa,Niger,NER,Female, , , ,0.22,3.71, ,0.43, , ,7.79, , , 
3720,Sub-Saharan Africa,Niger,NER,Male, , , ,0.4,1.67, ,0.6, , ,7.76, , , 
3745,Sub-Saharan Africa,Nigeria,NGA,Female, , , ,3.69, ,3.38,5.35,5.06,8.03,9.15, ,7.5, 
3746,Sub-Saharan Africa,Nigeria,NGA,Male, , , ,3.84, ,4.01,3.83,3.62,6.14,7.59, ,9.41, 
3771,Europe & Central Asia,North Macedonia,MKD,Female,34.16,32.82,32.24,30.79,30.33,29.02,28.62,25.06,22.73,21.82,19.87,18.39,16.92
3772,Europe & Central Asia,North Macedonia,MKD,Male,33.51,31.78,31.88,31.76,31.46,28.98,27.65,26.72,24.36,22.74,21.29,16.48,17.4
